# 3D point list with one line of data per point:
# POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8332
62525 -16.8719676677 -2.66449234881 -13.4786073609 60 62 56 1.31244449828 78 12681
62523 -10.1076641821 2.09872217417 -8.45759582926 0 0 0 0.118779557591 78 12356
62518 -15.5391680559 -1.83688994672 -12.292540253 74 73 65 2.89096321846 78 11591
62510 -11.1440098383 1.54446921593 -9.87469658298 41 47 33 1.27975923769 78 11784
62507 -13.3210128061 -4.96325612789 -12.8282768084 255 255 255 0.86298757466 78 10319
62506 1.87006959307 -0.326741193426 -0.0437226535924 0 0 0 0.0393825584027 78 10273
62500 -22.1747654602 -1.45607033361 -7.78178269103 58 62 47 2.20810755554 78 10836
62496 -13.4860700782 -5.32148741691 -12.6399081559 248 248 252 1.24818411498 78 10288
62495 -14.1312138386 -6.32055184385 -13.1586778682 91 100 98 1.14875742489 78 8372
62483 -19.1777668759 0.0533746028252 -11.169583085 41 43 30 0.791994805447 78 9510
62480 -13.5355044607 0.335026169111 -12.3227183145 74 78 63 1.29066032478 78 9438
62479 -15.8538151557 -2.10432443894 -8.45234481716 76 83 81 1.11582507131 78 9232
62478 -15.9610097578 -2.12070693835 -8.50749955671 76 83 81 1.13835687852 78 9231
62477 -15.0030591228 -1.9225001654 -11.760680278 72 72 64 1.25234198684 78 9162
62476 -15.4498985019 -2.01142162003 -12.5639022704 249 251 250 1.20356779287 78 9146
62475 -11.8679081618 -3.98733170316 -0.809329719829 116 127 87 1.82908895537 78 8885
62458 -0.0117786172578 0.34446366961 0.63027458644 0 0 0 1.92425584519 78 9803
62456 0.269436136849 0.484714911885 -0.0729932969767 100 100 91 0.766227048485 78 7676
62454 -22.7161310513 -1.02695310755 -9.36110085309 89 93 70 1.89796895277 78 3164
62451 -11.5262936026 -3.96488763116 -0.776114207181 252 255 254 2.21564410029 78 8867
62449 -7.63772529707 -2.98107231374 -3.94619193581 124 128 112 1.07867189116 78 5902
62448 -10.7603068948 -5.30674203677 -0.866451558828 163 163 158 2.34572137421 78 5419
62447 -10.7603068948 -5.30674203677 -0.866451558828 163 163 158 2.34572137421 78 5418
62446 -11.1072957236 -5.65933750163 -1.20117998875 254 255 254 1.34041395558 78 5328
62444 -13.6289555374 -4.93664060127 -13.101237887 114 121 119 1.58652669028 78 742
62443 -8.45013983399 -4.34961603891 -5.06215533215 173 180 145 1.87816516831 78 5357
62442 -13.8178416212 -6.28715487982 -12.739093606 114 126 116 0.755502086095 78 131
62439 2.74863082262 1.59521222224 0.119004337879 109 99 89 1.61147511369 155 6663
62413 0.283905879279 0.440302547472 -0.138287750674 173 178 180 1.5755173457 1 1696
62404 -28.6538314492 -2.68739910671 -2.24152064434 42 45 28 1.71598276555 78 9487
62388 -23.1800466379 -1.18920946855 -10.0302623267 240 242 241 0.844490700035 78 9445
62358 -19.6476938995 -0.0295632258613 -9.36486465515 82 83 67 0.937215356844 78 3404
62355 -12.6648364556 -1.4040952459 -6.5476664104 0 0 0 0.702468106363 78 2618
62226 -9.84226078483 -1.81639379433 -9.98006735934 247 248 249 1.25158605748 78 1882
62225 -14.5728206017 -0.0572644413368 -10.0994383354 25 25 12 1.09602980872 78 3117
62224 -8.31790480961 -3.84450851242 -5.23925508241 71 72 67 2.45645328335 78 12586
61887 -13.1092373675 -5.27788883188 -12.566114896 254 255 255 1.35357389297 78 8484
61885 -15.7919876666 -1.47934161074 -10.5290485835 142 142 144 1.77001238988 78 10711
61883 -23.8889271514 -0.522924113768 -5.87300109549 71 73 56 1.59101278204 78 3591
61882 -14.9274782231 -1.86991524163 -11.8700862119 158 161 156 2.38361856058 78 13330
61881 -15.4616202264 -1.29601002982 -8.98210201625 58 61 52 2.20539417466 78 13256
61877 -15.6060328352 -1.90890092708 -8.79371324391 255 255 255 0.962415122698 78 13182
61870 -13.1437158294 -1.23464151385 -12.5093025347 0 0 0 1.02988507723 78 12214
61867 -16.5703467902 -2.35889904241 -10.0237486149 242 243 245 0.796876577171 78 12703
61841 -7.60358972956 -3.4497071831 -9.54180608834 255 255 255 1.05658328922 78 12071
61821 -14.4592829234 0.111383942703 -12.1788730436 63 65 54 0.92779438352 78 7088
61816 -16.1743327155 -2.18667056177 -9.47412385034 66 68 65 1.56852025509 78 6692
61814 -6.63951722477 -1.02610577631 -9.45931799234 66 67 61 0.684584401115 78 10570
61813 -6.65137266909 -1.0262677899 -9.4712801689 66 67 61 0.97817727962 78 10571
61806 -13.7058757253 -5.9444176392 -13.0632270815 255 255 255 1.11902588139 78 5423
61804 -9.20178207251 -4.59399533741 -1.31282975603 255 255 255 0.73682854552 78 8429
61802 -11.2951389762 -5.62997780861 -1.24160528273 255 255 255 1.94981737194 78 5371
61797 -18.0131195407 0.684666509366 -9.45212785527 88 92 69 0.825336941999 78 7380
61796 -24.2008989533 -0.661175092268 -6.06116582488 69 71 58 0.50622237659 78 3547
61791 -24.17969216 -1.36860357307 -4.99120737475 0 0 0 1.717063018 78 7250
61787 -16.7561387354 -1.27602340765 -10.5126970449 68 71 64 1.1963946477 78 6910
61784 -8.75413861583 -0.552050603179 -10.2775038375 248 249 251 2.40447568208 78 9226
61771 -7.15542517731 -3.46990253874 -8.68684093534 255 255 255 1.85583345716 78 8431
61770 -7.2019944529 -3.48082718039 -8.73674325427 255 255 255 1.60632905276 78 8432
61768 -13.681090476 -5.95927185716 -13.3366951757 145 149 148 1.40993686985 78 5415
61765 -11.1728630305 -5.70163290411 -1.38911840663 109 117 96 1.18872995603 78 5313
61757 -13.0059981629 1.8831255654 -14.8733456485 98 101 87 0.46359143004 78 3521
61756 -17.910325344 0.641927391523 -9.62711107633 50 54 37 1.06614928624 78 3589
61751 -9.18824042643 1.44079812863 -12.8524622943 143 151 110 1.01119905254 78 3310
61750 -13.7460465935 0.0665502986871 -11.8215650646 28 30 19 1.0704896633 78 3003
61741 -5.70987036506 -2.37585826698 -11.6567830787 109 118 107 0.690179016029 78 5652
61740 -8.23151683334 -3.53078214424 -4.92799698772 117 123 109 1.5694994894 78 727
61403 0.183551560793 0.866191543586 1.63328143771 176 164 129 1.9036407522 155 6891
61278 -15.6272816894 -2.82426221548 1.28513443614 51 59 52 0.550426648469 78 9331
61131 -8.28767402845 -1.65935184553 -2.66994165541 28 31 22 1.2014640531 78 6642
61095 -24.9988769497 -1.22533276176 -1.46487464483 19 21 10 1.67249843226 78 9616
61027 -27.7341263702 -2.19674600445 -2.82798161618 0 0 0 1.38948308834 78 11732
60998 -23.8032345564 -0.414832550537 -5.72910934831 59 64 51 0.692763056479 78 7387
60960 -22.7312016483 -0.0560770276333 -6.86030470537 59 61 50 0.509352842574 78 3658
60955 -28.2297957624 -2.50331054667 -3.09054617772 35 39 24 1.1768117539 78 7190
60943 -8.73720925588 0.150828080567 -2.14935900174 89 89 84 1.05364037818 78 3742
60941 -26.2516229792 -1.43979048804 -3.87521729755 92 87 64 1.46662902709 78 7301
60898 -9.58390677634 -2.88722462653 -1.55974065447 254 255 253 1.42871383133 78 8993
60883 -24.334395618 -0.859254251939 -0.0500376160373 38 40 27 2.0620076872 78 7515
60840 -33.8189260266 -4.59449665357 -1.03566339224 70 78 37 0.718204708503 78 2937
60571 -0.196567044372 0.677271516895 0.978731653597 11 13 10 0.64880483732 1 10592
60247 0.163995836394 1.34287163238 0.378646240167 29 30 25 3.00472547851 1 6676
60242 0.258100701214 0.404721898621 -0.127731866011 121 124 122 1.63360064168 1 7889
60241 0.165533248023 0.704657057212 0.185055381153 7 8 6 2.48190616972 1 11139
60215 0.15872584075 0.920407977287 0.195944171234 12 12 12 1.36519560243 1 10615
60175 -0.182333467498 0.627093975156 1.13818476649 11 16 13 2.67322551262 1 8133
60087 -27.6922009488 -1.83759113743 -2.60920512356 82 82 62 1.51845055596 78 3460
60075 -26.1180376216 -1.00061387404 -3.16408243904 35 38 26 1.35019529435 78 3661
60074 1.30469605588 1.7445677544 0.0688419450729 203 205 204 1.79710475814 155 6699
60069 0.147668525398 0.602990891417 0.287468460143 208 206 205 2.02041369559 194 13081 1 10006
60033 -7.78255977612 -5.47100610491 23.5357324856 167 146 40 1.03463573916 40 9301 40 9302
59575 -12.9072298477 -6.85313719427 30.507173074 0 0 0 2.26608911332 40 9675
59574 -17.0797185793 -11.4409738291 38.9310082081 71 76 44 1.3086845469 40 9267
59542 -36.660230277 -22.3724850053 67.2774983971 100 100 99 0.931506145533 40 7574
59526 -17.2056705883 -10.5830122156 37.11717204 48 51 30 0.23365854955 40 3262
59492 -31.8614625976 -23.0864829676 66.1518798008 110 96 95 1.12105803025 40 2908
59449 0.468711486616 1.21694659213 -0.566472849493 90 104 50 2.10210393231 78 8066
59448 0.206809924352 0.929293795573 0.0768890776488 6 7 9 0.776752304574 78 4840
59433 -8.91757680277 -3.52145353757 -3.63122410666 205 223 229 1.01332156213 78 13244
59432 -8.91757680277 -3.52145353757 -3.63122410666 205 223 229 1.01332156213 78 13243
59426 -16.6220453116 -2.55145013355 -11.4347471673 252 255 255 1.00319677631 78 13177
59424 -14.0663576489 1.60600159621 -9.22415074207 70 73 56 1.07380086808 78 13133
59418 -29.9807245512 -2.67248221113 -4.10464395222 63 67 51 0.00193743056583 78 13006
59411 -15.5228183408 -1.50178410387 -10.7837502053 193 199 201 0.648724412821 78 12720
59410 -11.5934011527 -3.90344498964 -0.892384702523 99 107 83 0.311127153402 78 12944
59409 -11.5934011527 -3.90344498964 -0.892384702523 99 107 83 0.311127153402 78 12943
59408 -13.2543334036 -3.11943636034 -12.1747947834 71 72 66 1.6587671043 78 12647
59405 0.503369594732 1.23946228499 -0.677670464644 0 0 0 0.99369333222 78 12499
59398 0.427689952188 1.05293116004 -0.496568610595 0 0 0 2.46110673183 78 12452
59393 0.249467610536 0.821314759055 0.0582201170132 31 35 36 2.5018358044 78 12428
59383 -9.99520250354 -4.07974937821 -2.19375377893 165 166 160 1.28278718586 78 12094
59382 -9.88632298627 -4.74389413091 -1.79375613976 77 81 79 2.01060786164 78 12582
59348 -9.60161406271 -2.50770285897 -2.51074478411 55 56 49 1.41437511257 78 12164
59347 -13.5014048179 -5.31809790098 -12.6484414508 240 244 247 1.65107181915 78 10287
59334 -24.0592711165 -0.876758145185 0.324239428349 89 93 79 0.831511000961 78 9691
59333 -27.8948270439 -2.43449483961 -2.55189315893 35 39 24 0.988195617194 78 9506
59331 -7.71007122597 -2.94584489461 -3.96509736736 254 255 255 0.734962599399 78 8737
59330 -10.7253935215 -5.38413458526 -0.837661071023 134 135 129 1.02608419111 78 8380
59329 -13.020621386 -4.91201429799 -12.4703752487 65 76 70 2.19398124168 78 5672
59305 -19.5571667665 0.379930552322 -9.77838558189 21 23 18 1.594239515 78 7322
59304 -26.8081784077 -1.7470435414 -5.04993405749 129 127 102 0.881690930992 78 7224
59302 -12.3778994171 -1.28622706594 -6.13414885875 254 254 254 0.547078034088 78 6873
59301 -12.3778994171 -1.28622706594 -6.13414885875 254 254 254 0.547078034088 78 6874
59299 -13.172618277 -4.23084931657 -12.1913281016 89 98 97 2.17219439303 78 1032
59298 -13.1218140344 -4.29506748228 -12.0493409908 246 250 253 1.32733614255 78 5864
59297 -13.6652525147 -5.00904276541 -13.2339994889 95 105 106 1.29270014625 78 705
59296 -13.6652525147 -5.00904276541 -13.2339994889 95 105 106 1.29270014625 78 704
59292 0.187454972959 1.05360730397 0.12966858147 27 27 27 1.84826148834 78 4934
59291 0.187454972959 1.05360730397 0.12966858147 27 27 27 1.84826148834 78 4933
59288 0.322477540217 0.888201205901 -0.0780800885083 5 7 6 0.574655684914 78 4773
59287 0.222730141073 0.772869627037 0.082265392841 30 32 31 0.805165016599 78 4671
59286 0.222730141073 0.772869627037 0.082265392841 30 32 31 0.805165016599 78 4670
59269 -21.8807767281 0.862880992349 -6.36421317653 40 43 32 0.494604029421 78 3995
59264 -24.2882711871 -1.44483929744 -0.012730219074 116 119 90 1.38250499445 78 7401
59256 -14.7634130853 -1.70944888153 -0.271708240213 125 128 111 0.959003499281 78 3128
59255 -22.9783011016 -1.00423324265 -9.62294666712 77 80 66 0.723470326103 78 3157
59253 -20.0117832689 -0.233524186527 -11.8908273847 81 89 68 0.628827176621 78 3179
59251 -23.2997057579 -1.34574515294 -9.69364901993 248 253 250 0.395280521219 78 3061
59247 -7.6069413405 -2.9454808315 -3.98491473203 253 254 254 1.26204373121 78 5919
59246 -9.57846880538 -4.60363871372 -0.193813967206 166 165 151 2.30081215044 78 5552
59224 -22.8742614787 0.578000552248 -1.36368583975 114 123 97 1.1419739051 78 7736
59099 -8.30589634136 -1.55528434682 -2.41519931321 52 51 33 1.91171427329 78 2391
59010 -24.6898232551 -1.85786539684 -0.531455991521 42 45 28 1.33609962781 78 3494
58970 -8.73045315767 0.090829040187 -2.19540090721 41 37 27 0.97983018053 78 10963
58969 -21.8213173947 0.994166097346 -6.78188029328 79 84 70 0.89117572712 78 4012
58968 -24.2714854771 -1.19610165005 -5.40011696064 20 22 16 2.11076516533 78 10904
58965 -28.1186384988 -2.03065303735 -2.47194040333 26 27 17 1.88648582103 78 10908
58888 -27.9017192679 -1.80809223205 -3.04680291418 36 38 24 0.763738122301 78 11749
58766 -0.0938866355126 0.772362997995 0.74976264131 11 16 12 1.8397621024 78 4833
58740 -25.7220189005 -0.704217681661 -2.74814052379 124 123 94 0.845997976455 78 3785
58736 -26.0198222359 -1.03641627325 -3.82975815595 37 43 27 1.43975896726 78 3606
58703 -27.9754077353 -2.21707798113 -1.9536603658 22 27 17 2.09324518223 78 7253
58701 -25.4981628864 -1.71294321496 0.684199333143 23 25 12 1.49887211284 78 7394
58633 -24.6118908101 -0.718881248228 -5.88346899586 0 0 0 1.22622700281 78 11763
58612 -24.0061894228 -0.331746806224 -5.5164633656 17 20 11 1.38779264683 78 11775
58607 -28.4492459366 -2.65570844758 -2.11684958807 46 50 33 1.45848150935 78 11716
58606 -16.7796934769 0.579259678217 -10.446872534 44 48 31 2.0326692285 78 10913
58585 -18.1737519433 -1.72323788822 1.72130022995 38 48 24 2.02041904124 78 10925
58576 -16.4358404085 -2.33865028581 -10.4611801693 29 30 25 1.36815662305 78 9167
58575 -15.9358781782 -2.52882235911 -10.8411202423 242 246 245 1.53854341411 78 9127
58543 -27.0541318189 -1.9305863771 -4.16247822128 134 142 118 1.54601134851 78 3322
58541 -17.9406683791 0.461321058196 -10.0830115463 20 23 16 0.598967071135 78 7303
58538 -9.6039572076 -3.04887712709 -1.65782849781 76 77 69 1.22449807591 78 8936
58451 -14.9608233589 0.444661489417 -0.0358773315843 89 86 77 0.259906959888 78 4302
58436 -25.1999236485 -0.506554322422 -2.63591663405 119 124 95 0.246389614351 78 3850
58429 -25.9574969586 -2.18954896123 1.0816932645 26 30 15 1.32111397851 78 3520
58427 -24.7731473586 -1.80670135792 -0.470126871521 65 67 54 1.0169204595 78 3519
58420 -17.1910461071 0.948893164817 -10.6710916595 51 55 32 0.754463886783 78 3605
58419 -27.8895655784 -2.37273570441 -2.29751181544 42 46 32 1.55068052738 78 3316
58412 -18.6722498266 0.2245882057 -9.77619736043 23 29 17 1.15712771367 78 3437
58247 -20.1147425384 -8.52986614019 27.8592450191 99 112 67 1.99911822523 40 9237
58172 -24.5338230894 -1.02771581136 0.330858617888 35 41 31 1.06688174974 78 9679
57711 -23.8223242797 0.0938925222405 -0.405475898208 72 74 60 0.77401097172 78 4179
57680 1.62212333416 1.43345038654 1.070514039 115 107 99 1.68579860267 155 2957 117 5096
57673 1.24252714268 1.39041297036 1.36933516738 201 196 180 2.03575969085 155 5682 117 6413
57661 1.22352530865 1.38220160269 1.40953838806 62 56 55 1.87963045446 155 8104 117 8079
57277 -19.2936344574 -8.26915462347 27.6848938339 58 64 37 2.37815296444 40 9908
56954 -23.9306459063 -0.00986731549199 -0.163580138145 14 17 8 1.13995960999 78 4159
56905 1.30513315209 1.74452887245 0.0688291354041 202 199 196 1.74121987244 155 6698
56397 1.10307860555 1.20061779888 0.057063414651 135 136 135 1.16081766193 117 4357
55980 1.39255444206 1.2892433464 1.69409675919 102 93 85 0.952951659096 194 11584
55978 1.28889006849 1.73131948878 0.11574736623 198 197 197 1.24611010571 155 8296
55920 1.78551251461 1.4011474025 1.15235535724 116 107 100 0.883063876878 155 5526
55780 0.191906728213 0.919407417209 0.100488234893 0 0 0 1.30872215125 78 12454
55615 -23.8746338549 -0.136854656667 -0.265689206987 14 18 9 1.83439357115 78 11026
55566 -23.0580053386 0.455557094694 -1.2209659198 37 45 21 2.23699571485 78 11054
55560 -21.6440201518 1.26545887431 -6.81671446035 52 54 43 1.05635917068 78 7643
55514 -23.5147957814 0.195359301265 -0.153117696064 73 74 57 1.59489760672 78 7713
55513 -23.5147957814 0.195359301265 -0.153117696064 73 74 57 1.59489760672 78 7714
55430 -27.2813747299 -2.17205889287 -3.20527647417 120 115 85 1.63652823377 78 3308
55404 1.32007818732 1.3604321821 1.44710211281 87 80 73 1.83793290245 155 3318
55400 1.24417765512 1.37924656266 1.42384354317 117 112 106 2.12222169514 155 5717 117 6446
55060 0.146243985052 0.600975768801 0.287576022691 183 186 189 2.08084815416 1 9268
55055 -10.4171246392 1.60612704237 -9.60396885083 38 46 23 2.05974397381 78 7478
55054 1.53145888643 1.44656150222 1.05263141808 80 48 48 1.33710790372 155 5481 117 7164
55029 -0.094281617049 0.654857307842 0.827900076946 20 20 20 2.43544350224 194 13249
54253 0.256085215697 0.739103511747 0.253704704411 136 136 83 2.74987191376 78 11898
54039 0.166096222073 0.835981001939 0.194694843487 153 159 162 1.99239830249 1 10588
53415 -0.0319660382994 0.689796307401 0.63696282288 0 0 0 1.04627339889 1 10580
53413 0.0883233912419 0.993642345382 0.407876393762 18 20 19 2.88122197768 1 10131
53405 30.0615111422 -16.6327982162 26.5353681853 82 90 79 1.59858691517 1 7573
53404 2.04479477469 -0.748075292291 8.6927688837 40 46 36 0.961131945417 1 6369
53401 0.300399200677 0.754383354982 -0.199472845752 103 109 117 2.10210335066 1 8058
53351 0.191747445378 0.562003201832 0.0890617708542 29 35 23 2.01176679866 1 10515
53350 5.13314856307 -0.037889536364 0.180076310542 23 26 17 0.909636179159 1 10505
53344 0.130934399171 0.981839890935 0.211068683541 14 16 15 1.61937658398 1 10637
53321 1.89716983064 -1.23481664995 8.65476966924 0 0 0 0.493140757498 1 9311
53317 0.203973137214 0.683032360539 0.0586889972024 18 20 19 0.531678234933 1 8055
53299 0.260329265455 1.10741724017 -0.0296436271313 13 18 13 2.25887937352 1 2993
53288 0.0932376162329 0.46207233627 0.716973055099 53 56 56 2.1735839838 1 6023
53280 29.5941725932 -16.9356324804 27.2765114898 58 69 52 1.57421885329 1 7569
53267 0.239497154258 1.10768076972 0.00962195055155 186 191 191 2.50171788839 1 3007
53266 0.239497154258 1.10768076972 0.00962195055155 186 191 191 2.50171788839 1 3006
53243 30.4921470457 -16.9986626296 25.3931605079 107 118 101 0.778052935481 1 251
53152 5.115834769 0.310054476839 0.204519768585 0 0 0 0.587389363819 1 8026
53096 13.230021282 -9.24970980875 14.5121792656 254 255 253 0.553526281963 1 4872
53027 0.242859370525 0.705139356547 -0.0162957705304 20 22 19 2.22171709324 1 11133
53007 0.263281547037 0.513400193102 -0.0830876525549 181 183 179 1.32124174156 1 7959
53002 29.6092225247 -16.1973287421 25.328008714 43 47 37 1.47941536397 1 4998
52976 0.205759453744 0.634611440581 0.0424788015744 0 0 0 0.52995696891 1 10526
52963 5.46735550102 -2.23777246367 7.70352801602 30 36 22 0.952323803123 1 9206
52872 6.79552899685 -2.28008353521 4.16965593625 49 54 34 0.710871958479 1 1027
52838 0.279360765288 0.829486767921 0.00172694548836 7 11 10 1.80500557273 1 10037
52826 -0.041450965099 0.40377287069 0.693944861447 167 171 170 1.88741439895 1 11124
52825 0.167749455512 0.814321998522 0.176283107935 16 20 20 0.824168767633 1 2567
52823 4.77187922568 -1.58625896185 8.78591824561 45 51 43 1.02424537473 1 9281
52822 0.251662284173 0.56234627791 -0.0166694217706 160 162 163 1.79665275164 1 11319
52821 0.203398084102 0.691287439697 0.0764848408219 20 22 19 1.37032037895 1 10547
52810 0.0466325280212 0.979544214774 0.433603440941 242 244 243 0.508071611747 1 11161
52797 -0.0515379139125 0.622162357238 0.668704377782 21 23 22 2.31337241841 1 10561
52794 4.42805995789 -0.62224315541 8.32755944101 19 25 15 0.416577291689 1 10100
52786 -0.164179884535 0.52631886259 0.823703096905 16 18 15 0.512302674734 1 10926
52774 -0.0787709995837 0.865239885756 0.72918371421 19 19 17 0.982283563467 1 10114
52758 -0.0597127595472 0.736864136219 0.630927378568 86 87 91 1.75759209125 1 10050
52715 6.31582986451 -1.89395900626 7.35827152408 17 23 9 0.477078664982 1 2046
52708 0.225931684025 0.325457809211 0.048537389268 143 144 130 0.249921153431 1 5645
52694 4.48810746677 -0.838446881141 8.671475091 59 61 48 0.586997067745 1 2742
52681 5.76901183863 -2.2104944326 7.72442967693 67 73 59 1.81070633798 1 1896
52670 11.4762936407 -2.2235654915 4.09350945957 153 157 135 0.843431573452 1 1538
52669 0.282255878242 0.44128521434 -0.139516747183 215 216 216 0.429171473981 1 1697
52666 6.40382648943 -3.03025552496 7.29665711656 47 56 29 1.1354059389 1 1201
52664 31.6419062724 -15.3542377778 25.9277025447 77 85 72 0.499338772091 1 5151
52646 0.149397930727 0.836987991792 0.179247892593 208 213 219 2.28682250096 1 10589
52643 0.0169486503296 0.628307277373 0.60915668041 10 11 13 1.16944023874 1 10021
52642 11.6524058477 -5.05509474369 4.91190658194 92 99 89 2.24803354456 1 8899
52633 3.02476111507 -1.83805157179 8.25227898397 11 15 6 2.19389953157 1 9978
52630 0.228885264 0.575864030142 0.00370985200067 47 48 42 1.37203928591 1 5938
52615 0.16957556821 0.819315778726 0.143824675843 14 16 12 2.01192731674 1 10940
52603 0.127426412315 0.729243986282 0.736983480667 12 15 14 1.17294374435 1 10947
52599 -0.098417599315 0.563163897018 0.770604953082 0 0 0 1.2329599168 1 10927 194 13359
52596 -0.0256440118393 0.282606927628 0.706143625396 66 75 46 0.751654130554 1 10904
52594 8.36495036736 -2.98710905644 2.30691568456 74 77 71 2.33145393016 1 10830
52578 12.0031810744 -5.0504130121 5.10320682773 130 129 124 1.64929576783 1 9797
52544 0.312511152455 0.705932675862 -0.067158679582 25 26 28 0.131333366067 1 8050
52542 29.7002350871 -17.5863251476 27.059844602 74 83 64 0.980964657438 1 8929 1 9803
52516 2.75842043423 -1.77891661915 8.339801506 8 10 5 1.13394903993 1 5989
52485 3.9802617472 -1.33085179935 8.52157238905 44 51 39 0.704085486853 1 2457
52484 0.376714926094 0.966460730256 0.0815173178317 31 36 32 0.894170917336 1 2800
52481 5.37480323919 0.113823809592 0.103696834766 24 28 23 1.22750897594 1 2028
52475 6.73894567713 -2.28823025297 4.0972872957 117 119 95 0.916633722213 1 5379
52426 2.76228069643 -1.31019088321 8.01378026888 10 15 8 0.527933457495 1 2371
52425 0.267663266006 0.880666642255 0.411136021197 8 13 13 0.888453354114 1 2765
52424 0.256192314812 0.856965795235 0.401211959527 16 20 19 1.66538971267 1 2727
52420 4.37649479168 -1.95455884882 8.48727500436 36 37 32 0.449189386836 1 2120
52419 2.53720826494 -1.81503390707 8.35280327348 14 17 8 0.79279943055 1 2105
52413 12.4920531471 -4.05120353617 5.51572746653 57 66 35 0.86440056263 1 780
52412 28.7459290019 -15.9635746214 25.4181220944 0 0 0 2.33604699247 1 7572
52410 8.41941284967 -2.83092289552 2.61935431199 57 63 56 1.42907622611 1 396
52332 0.559283612264 0.944708133725 -0.520011352133 9 11 9 3.50214217458 1 10938
52329 10.7191325489 -4.6641139309 7.69061253717 254 254 253 2.04906717059 1 7676
52323 0.286302975303 1.35318662591 -0.0274718552704 189 193 189 0.355397996065 1 3291
52319 0.00413024677127 0.226399154873 0.599133045544 244 246 247 2.09664524795 1 7894
52316 0.246944449587 0.922415635731 -0.0544182447378 149 148 145 0.775302097791 1 2669
52314 3.11054346357 -1.2661455562 8.23788647033 5 7 2 1.95657276117 1 11251
52312 3.63262363761 -0.984225100759 8.25519533975 5 8 2 1.55705189239 1 2616 40 7875
52309 5.15586119049 1.44475829918 -0.466531836134 61 68 53 1.65343752333 1 3070
52305 5.1263885835 0.904046538137 -0.344019849872 11 13 8 0.647075333462 1 11255
52303 3.67382134842 -1.35596315262 8.50172690282 0 0 0 0.930780890515 1 11141
52301 5.3608584142 0.132994277662 -0.000539956410417 12 14 9 1.10057557462 1 11122
52299 0.022097720114 0.314345528272 0.584587595338 24 29 25 1.48831366766 1 11242
52297 0.38724262167 0.933616236561 -0.121671934717 18 20 19 1.50328347901 1 11151
52296 0.126201689794 1.2863123681 0.415772616795 24 28 27 2.26122201249 1 10698
52295 -0.381745792779 0.909830883713 0.882721702096 17 19 15 2.14457985301 1 10145
52294 0.746889714523 1.22392572401 -0.878441777051 14 16 15 0.362549424492 1 10965
52291 0.30304723949 0.870985794014 -0.127516565189 33 35 34 1.66187061049 1 10939
52283 -0.33950791023 0.89194832472 0.852448243649 230 232 231 0.641609776519 1 10967
52282 -0.0186161724811 0.697502377591 1.18386954363 14 16 13 3.60717665692 1 10954
